Code Domaine,Domaine,Code zone (M49),Zone,Code de devise ISO (FAO),Devise,Code Élément,Élément,Code année,Année,Code Mois,Mois,Unité,Valeur,Symbole,Description du Symbole
"PE","Taux de change","528","Pays-Bas (Royaume des)","EUR","Euro","LCU","Unités de monnaie locale par USD","2017","2017","7021","Valeur annuel","","0.8852055083","X","Ciffre de sources internationales"
"PE","Taux de change","528","Pays-Bas (Royaume des)","EUR","Euro","SLC","Unités de monnaie locale standardisée par USD","2017","2017","7021","Valeur annuel","","0.885205508","X","Ciffre de sources internationales"
"PE","Taux de change","004","Afghanistan","AFN","Afghani","LCU","Unités de monnaie locale par USD","2017","2017","7021","Valeur annuel","","68.0269040822312","X","Ciffre de sources internationales"
"PE","Taux de change","004","Afghanistan","AFN","Afghani","SLC","Unités de monnaie locale standardisée par USD","2017","2017","7021","Valeur annuel","","68.02690408","X","Ciffre de sources internationales"
"PE","Taux de change","710","Afrique du Sud","ZAR","Rand","LCU","Unités de monnaie locale par USD","2017","2017","7021","Valeur annuel","","13.3238014244992","X","Ciffre de sources internationales"
"PE","Taux de change","710","Afrique du Sud","ZAR","Rand","SLC","Unités de monnaie locale standardisée par USD","2017","2017","7021","Valeur annuel","","13.33378146","X","Ciffre de sources internationales"
"PE","Taux de change","008","Albanie","ALL","Lek","LCU","Unités de monnaie locale par USD","2017","2017","7021","Valeur annuel","","119.1","X","Ciffre de sources internationales"
"PE","Taux de change","008","Albanie","ALL","Lek","SLC","Unités de monnaie locale standardisée par USD","2017","2017","7021","Valeur annuel","","119.0996667","X","Ciffre de sources internationales"
"PE","Taux de change","012","Algérie","DZD","Algerian Dinar","LCU","Unités de monnaie locale par USD","2017","2017","7021","Valeur annuel","","110.973016666667","X","Ciffre de sources internationales"
"PE","Taux de change","012","Algérie","DZD","Algerian Dinar","SLC","Unités de monnaie locale standardisée par USD","2017","2017","7021","Valeur annuel","","110.9730167","X","Ciffre de sources internationales"
"PE","Taux de change","276","Allemagne","EUR","Euro","LCU","Unités de monnaie locale par USD","2017","2017","7021","Valeur annuel","","0.885205508269372","X","Ciffre de sources internationales"
"PE","Taux de change","276","Allemagne","EUR","Euro","SLC","Unités de monnaie locale standardisée par USD","2017","2017","7021","Valeur annuel","","0.885205508","X","Ciffre de sources internationales"
"PE","Taux de change","020","Andorre","EUR","Euro","LCU","Unités de monnaie locale par USD","2017","2017","7021","Valeur annuel","","0.88520550826938","X","Ciffre de sources internationales"
"PE","Taux de change","020","Andorre","EUR","Euro","SLC","Unités de monnaie locale standardisée par USD","2017","2017","7021","Valeur annuel","","0.885205508","X","Ciffre de sources internationales"
"PE","Taux de change","024","Angola","AOA","Kwanza","LCU","Unités de monnaie locale par USD","2017","2017","7021","Valeur annuel","","165.915950691498","X","Ciffre de sources internationales"
"PE","Taux de change","024","Angola","AOA","Kwanza","SLC","Unités de monnaie locale standardisée par USD","2017","2017","7021","Valeur annuel","","165.9159507","X","Ciffre de sources internationales"
"PE","Taux de change","660","Anguilla","XCD","East Caribbean Dollar","LCU","Unités de monnaie locale par USD","2017","2017","7021","Valeur annuel","","2.7","X","Ciffre de sources internationales"
"PE","Taux de change","660","Anguilla","XCD","East Caribbean Dollar","SLC","Unités de monnaie locale standardisée par USD","2017","2017","7021","Valeur annuel","","2.7","X","Ciffre de sources internationales"
"PE","Taux de change","028","Antigua-et-Barbuda","XCD","East Caribbean Dollar","LCU","Unités de monnaie locale par USD","2017","2017","7021","Valeur annuel","","2.7","X","Ciffre de sources internationales"
"PE","Taux de change","028","Antigua-et-Barbuda","XCD","East Caribbean Dollar","SLC","Unités de monnaie locale standardisée par USD","2017","2017","7021","Valeur annuel","","2.7","X","Ciffre de sources internationales"
"PE","Taux de change","682","Arabie saoudite","SAR","Saudi Riyal","LCU","Unités de monnaie locale par USD","2017","2017","7021","Valeur annuel","","3.75","X","Ciffre de sources internationales"
"PE","Taux de change","682","Arabie saoudite","SAR","Saudi Riyal","SLC","Unités de monnaie locale standardisée par USD","2017","2017","7021","Valeur annuel","","3.75","X","Ciffre de sources internationales"
"PE","Taux de change","032","Argentine","ARS","Argentine Peso","LCU","Unités de monnaie locale par USD","2017","2017","7021","Valeur annuel","","16.5627069251411","X","Ciffre de sources internationales"
"PE","Taux de change","032","Argentine","ARS","Argentine Peso","SLC","Unités de monnaie locale standardisée par USD","2017","2017","7021","Valeur annuel","","16.56270693","X","Ciffre de sources internationales"
"PE","Taux de change","051","Arménie","AMD","Armenian Dram","LCU","Unités de monnaie locale par USD","2017","2017","7021","Valeur annuel","","482.716393849129","X","Ciffre de sources internationales"
"PE","Taux de change","051","Arménie","AMD","Armenian Dram","SLC","Unités de monnaie locale standardisée par USD","2017","2017","7021","Valeur annuel","","482.7163938","X","Ciffre de sources internationales"
"PE","Taux de change","533","Aruba","AWG","Aruban Florin","LCU","Unités de monnaie locale par USD","2017","2017","7021","Valeur annuel","","1.79","X","Ciffre de sources internationales"
"PE","Taux de change","533","Aruba","AWG","Aruban Florin","SLC","Unités de monnaie locale standardisée par USD","2017","2017","7021","Valeur annuel","","1.79","X","Ciffre de sources internationales"
"PE","Taux de change","036","Australie","AUD","Australian Dollar","LCU","Unités de monnaie locale par USD","2017","2017","7021","Valeur annuel","","1.30475807671592","X","Ciffre de sources internationales"
"PE","Taux de change","036","Australie","AUD","Australian Dollar","SLC","Unités de monnaie locale standardisée par USD","2017","2017","7021","Valeur annuel","","1.304758077","X","Ciffre de sources internationales"
"PE","Taux de change","040","Autriche","EUR","Euro","LCU","Unités de monnaie locale par USD","2017","2017","7021","Valeur annuel","","0.885205508269372","X","Ciffre de sources internationales"
"PE","Taux de change","040","Autriche","EUR","Euro","SLC","Unités de monnaie locale standardisée par USD","2017","2017","7021","Valeur annuel","","0.885205508","X","Ciffre de sources internationales"
"PE","Taux de change","031","Azerbaïdjan","AZN","Azerbaijanian Manat","LCU","Unités de monnaie locale par USD","2017","2017","7021","Valeur annuel","","1.72115480222734","X","Ciffre de sources internationales"
"PE","Taux de change","031","Azerbaïdjan","AZN","Azerbaijanian Manat","SLC","Unités de monnaie locale standardisée par USD","2017","2017","7021","Valeur annuel","","1.721154802","X","Ciffre de sources internationales"
"PE","Taux de change","044","Bahamas","BSD","Bahamian Dollar","LCU","Unités de monnaie locale par USD","2017","2017","7021","Valeur annuel","","1","X","Ciffre de sources internationales"
"PE","Taux de change","044","Bahamas","BSD","Bahamian Dollar","SLC","Unités de monnaie locale standardisée par USD","2017","2017","7021","Valeur annuel","","1","X","Ciffre de sources internationales"
"PE","Taux de change","048","Bahreïn","BHD","Bahraini Dinar","LCU","Unités de monnaie locale par USD","2017","2017","7021","Valeur annuel","","0.376","X","Ciffre de sources internationales"
"PE","Taux de change","048","Bahreïn","BHD","Bahraini Dinar","SLC","Unités de monnaie locale standardisée par USD","2017","2017","7021","Valeur annuel","","0.376","X","Ciffre de sources internationales"
"PE","Taux de change","050","Bangladesh","BDT","Taka","LCU","Unités de monnaie locale par USD","2017","2017","7021","Valeur annuel","","80.4375416666667","X","Ciffre de sources internationales"
"PE","Taux de change","050","Bangladesh","BDT","Taka","SLC","Unités de monnaie locale standardisée par USD","2017","2017","7021","Valeur annuel","","80.43754167","X","Ciffre de sources internationales"
"PE","Taux de change","052","Barbade","BBD","Barbados Dollar","LCU","Unités de monnaie locale par USD","2017","2017","7021","Valeur annuel","","2","X","Ciffre de sources internationales"
"PE","Taux de change","052","Barbade","BBD","Barbados Dollar","SLC","Unités de monnaie locale standardisée par USD","2017","2017","7021","Valeur annuel","","2","X","Ciffre de sources internationales"
"PE","Taux de change","112","Bélarus","BYN","Rouble bélorussien","LCU","Unités de monnaie locale par USD","2017","2017","7021","Valeur annuel","","1.93234166666667","X","Ciffre de sources internationales"
"PE","Taux de change","112","Bélarus","BYN","Rouble bélorussien","SLC","Unités de monnaie locale standardisée par USD","2017","2017","7021","Valeur annuel","","1.932341667","X","Ciffre de sources internationales"
"PE","Taux de change","056","Belgique","EUR","Euro","LCU","Unités de monnaie locale par USD","2017","2017","7021","Valeur annuel","","0.885205508269372","X","Ciffre de sources internationales"
"PE","Taux de change","056","Belgique","EUR","Euro","SLC","Unités de monnaie locale standardisée par USD","2017","2017","7021","Valeur annuel","","0.885205508","X","Ciffre de sources internationales"
"PE","Taux de change","084","Belize","BZD","Belize Dollar","LCU","Unités de monnaie locale par USD","2017","2017","7021","Valeur annuel","","2","X","Ciffre de sources internationales"
"PE","Taux de change","084","Belize","BZD","Belize Dollar","SLC","Unités de monnaie locale standardisée par USD","2017","2017","7021","Valeur annuel","","2","X","Ciffre de sources internationales"
"PE","Taux de change","204","Bénin","XOF","CFA Franc BCEAO","LCU","Unités de monnaie locale par USD","2017","2017","7021","Valeur annuel","","580.656749587853","X","Ciffre de sources internationales"
"PE","Taux de change","204","Bénin","XOF","CFA Franc BCEAO","SLC","Unités de monnaie locale standardisée par USD","2017","2017","7021","Valeur annuel","","580.6567496","X","Ciffre de sources internationales"
"PE","Taux de change","060","Bermudes","BMD","Bermudian Dollar","LCU","Unités de monnaie locale par USD","2017","2017","7021","Valeur annuel","","1","X","Ciffre de sources internationales"
"PE","Taux de change","060","Bermudes","BMD","Bermudian Dollar","SLC","Unités de monnaie locale standardisée par USD","2017","2017","7021","Valeur annuel","","1","X","Ciffre de sources internationales"
"PE","Taux de change","064","Bhoutan","BTN","Ngultrum","LCU","Unités de monnaie locale par USD","2017","2017","7021","Valeur annuel","","65.121568645066","X","Ciffre de sources internationales"
"PE","Taux de change","064","Bhoutan","BTN","Ngultrum","SLC","Unités de monnaie locale standardisée par USD","2017","2017","7021","Valeur annuel","","65.12156856","X","Ciffre de sources internationales"
"PE","Taux de change","068","Bolivie (État plurinational de)","BOB","Boliviano","LCU","Unités de monnaie locale par USD","2017","2017","7021","Valeur annuel","","6.91","X","Ciffre de sources internationales"
"PE","Taux de change","068","Bolivie (État plurinational de)","BOB","Boliviano","SLC","Unités de monnaie locale standardisée par USD","2017","2017","7021","Valeur annuel","","6.91","X","Ciffre de sources internationales"
"PE","Taux de change","070","Bosnie-Herzégovine","BAM","Convertible Mark","LCU","Unités de monnaie locale par USD","2017","2017","7021","Valeur annuel","","1.73535271327691","X","Ciffre de sources internationales"
"PE","Taux de change","070","Bosnie-Herzégovine","BAM","Convertible Mark","SLC","Unités de monnaie locale standardisée par USD","2017","2017","7021","Valeur annuel","","1.735352713","X","Ciffre de sources internationales"
"PE","Taux de change","072","Botswana","BWP","Pula","LCU","Unités de monnaie locale par USD","2017","2017","7021","Valeur annuel","","10.3474166666667","X","Ciffre de sources internationales"
"PE","Taux de change","072","Botswana","BWP","Pula","SLC","Unités de monnaie locale standardisée par USD","2017","2017","7021","Valeur annuel","","10.34742088","X","Ciffre de sources internationales"
"PE","Taux de change","076","Brésil","BRL","Brazilian Real","LCU","Unités de monnaie locale par USD","2017","2017","7021","Valeur annuel","","3.19138944630048","X","Ciffre de sources internationales"
"PE","Taux de change","076","Brésil","BRL","Brazilian Real","SLC","Unités de monnaie locale standardisée par USD","2017","2017","7021","Valeur annuel","","3.191389446","X","Ciffre de sources internationales"
"PE","Taux de change","096","Brunéi Darussalam","BND","Brunei Dollar","LCU","Unités de monnaie locale par USD","2017","2017","7021","Valeur annuel","","1.38089116405281","X","Ciffre de sources internationales"
"PE","Taux de change","096","Brunéi Darussalam","BND","Brunei Dollar","SLC","Unités de monnaie locale standardisée par USD","2017","2017","7021","Valeur annuel","","1.380891164","X","Ciffre de sources internationales"
"PE","Taux de change","100","Bulgarie","BGN","Bulgarian Lev","LCU","Unités de monnaie locale par USD","2017","2017","7021","Valeur annuel","","1.73545833333333","X","Ciffre de sources internationales"
"PE","Taux de change","100","Bulgarie","BGN","Bulgarian Lev","SLC","Unités de monnaie locale standardisée par USD","2017","2017","7021","Valeur annuel","","1.735458333","X","Ciffre de sources internationales"
"PE","Taux de change","854","Burkina Faso","XOF","CFA Franc BCEAO","LCU","Unités de monnaie locale par USD","2017","2017","7021","Valeur annuel","","580.656749587858","X","Ciffre de sources internationales"
"PE","Taux de change","854","Burkina Faso","XOF","CFA Franc BCEAO","SLC","Unités de monnaie locale standardisée par USD","2017","2017","7021","Valeur annuel","","580.6567496","X","Ciffre de sources internationales"
"PE","Taux de change","108","Burundi","BIF","Burundi Franc","LCU","Unités de monnaie locale par USD","2017","2017","7021","Valeur annuel","","1729.055","X","Ciffre de sources internationales"
"PE","Taux de change","108","Burundi","BIF","Burundi Franc","SLC","Unités de monnaie locale standardisée par USD","2017","2017","7021","Valeur annuel","","1729.055","X","Ciffre de sources internationales"
"PE","Taux de change","132","Cabo Verde","CVE","Cabo Verde Escudo","LCU","Unités de monnaie locale par USD","2017","2017","7021","Valeur annuel","","97.8069377715121","X","Ciffre de sources internationales"
"PE","Taux de change","132","Cabo Verde","CVE","Cabo Verde Escudo","SLC","Unités de monnaie locale standardisée par USD","2017","2017","7021","Valeur annuel","","97.80693777","X","Ciffre de sources internationales"
"PE","Taux de change","116","Cambodge","KHR","Riel","LCU","Unités de monnaie locale par USD","2017","2017","7021","Valeur annuel","","4050.5799859191","X","Ciffre de sources internationales"
"PE","Taux de change","116","Cambodge","KHR","Riel","SLC","Unités de monnaie locale standardisée par USD","2017","2017","7021","Valeur annuel","","4050.579986","X","Ciffre de sources internationales"
"PE","Taux de change","120","Cameroun","XAF","CFA Franc BEAC","LCU","Unités de monnaie locale par USD","2017","2017","7021","Valeur annuel","","580.656749587858","X","Ciffre de sources internationales"
"PE","Taux de change","120","Cameroun","XAF","CFA Franc BEAC","SLC","Unités de monnaie locale standardisée par USD","2017","2017","7021","Valeur annuel","","580.6567496","X","Ciffre de sources internationales"
"PE","Taux de change","124","Canada","CAD","Canadian Dollar","LCU","Unités de monnaie locale par USD","2017","2017","7021","Valeur annuel","","1.29793584646039","X","Ciffre de sources internationales"
"PE","Taux de change","124","Canada","CAD","Canadian Dollar","SLC","Unités de monnaie locale standardisée par USD","2017","2017","7021","Valeur annuel","","1.297736517","X","Ciffre de sources internationales"
"PE","Taux de change","152","Chili","CLP","Chilean Peso","LCU","Unités de monnaie locale par USD","2017","2017","7021","Valeur annuel","","648.833792598261","X","Ciffre de sources internationales"
"PE","Taux de change","152","Chili","CLP","Chilean Peso","SLC","Unités de monnaie locale standardisée par USD","2017","2017","7021","Valeur annuel","","648.8337926","X","Ciffre de sources internationales"
"PE","Taux de change","344","Chine - RAS de Hong-Kong","HKD","Hong Kong Dollar","LCU","Unités de monnaie locale par USD","2017","2017","7021","Valeur annuel","","7.79325","X","Ciffre de sources internationales"
"PE","Taux de change","344","Chine - RAS de Hong-Kong","HKD","Hong Kong Dollar","SLC","Unités de monnaie locale standardisée par USD","2017","2017","7021","Valeur annuel","","7.79325","X","Ciffre de sources internationales"
"PE","Taux de change","446","Chine - RAS de Macao","MOP","Pataca","LCU","Unités de monnaie locale par USD","2017","2017","7021","Valeur annuel","","8.026001","X","Ciffre de sources internationales"
"PE","Taux de change","446","Chine - RAS de Macao","MOP","Pataca","SLC","Unités de monnaie locale standardisée par USD","2017","2017","7021","Valeur annuel","","8.026001","X","Ciffre de sources internationales"
"PE","Taux de change","156","Chine, continentale","CNY","Yuan Renminbi","LCU","Unités de monnaie locale par USD","2017","2017","7021","Valeur annuel","","6.75875508633597","X","Ciffre de sources internationales"
"PE","Taux de change","156","Chine, continentale","CNY","Yuan Renminbi","SLC","Unités de monnaie locale standardisée par USD","2017","2017","7021","Valeur annuel","","6.758755086","X","Ciffre de sources internationales"
"PE","Taux de change","158","Chine, Taiwan Province de","TWD","Nouveau dollar de TaÃ¯wan","LCU","Unités de monnaie locale par USD","2017","2017","7021","Valeur annuel","","30.4424166666667","X","Ciffre de sources internationales"
"PE","Taux de change","158","Chine, Taiwan Province de","TWD","Nouveau dollar de TaÃ¯wan","SLC","Unités de monnaie locale standardisée par USD","2017","2017","7021","Valeur annuel","","30.4424166667","X","Ciffre de sources internationales"
"PE","Taux de change","196","Chypre","EUR","Euro","LCU","Unités de monnaie locale par USD","2017","2017","7021","Valeur annuel","","0.885205508269372","X","Ciffre de sources internationales"
"PE","Taux de change","196","Chypre","EUR","Euro","SLC","Unités de monnaie locale standardisée par USD","2017","2017","7021","Valeur annuel","","0.885205508","X","Ciffre de sources internationales"
"PE","Taux de change","170","Colombie","COP","Colombian Peso","LCU","Unités de monnaie locale par USD","2017","2017","7021","Valeur annuel","","2951.48691120161","X","Ciffre de sources internationales"
"PE","Taux de change","170","Colombie","COP","Colombian Peso","SLC","Unités de monnaie locale standardisée par USD","2017","2017","7021","Valeur annuel","","2951.327402","X","Ciffre de sources internationales"
"PE","Taux de change","174","Comores","KMF","Comoro Franc","LCU","Unités de monnaie locale par USD","2017","2017","7021","Valeur annuel","","435.492562190889","X","Ciffre de sources internationales"
"PE","Taux de change","174","Comores","KMF","Comoro Franc","SLC","Unités de monnaie locale standardisée par USD","2017","2017","7021","Valeur annuel","","435.4925622","X","Ciffre de sources internationales"
"PE","Taux de change","178","Congo","XAF","CFA Franc BEAC","LCU","Unités de monnaie locale par USD","2017","2017","7021","Valeur annuel","","580.656749587858","X","Ciffre de sources internationales"
"PE","Taux de change","178","Congo","XAF","CFA Franc BEAC","SLC","Unités de monnaie locale standardisée par USD","2017","2017","7021","Valeur annuel","","580.6567496","X","Ciffre de sources internationales"
"PE","Taux de change","188","Costa Rica","CRC","Costa Rican Colon","LCU","Unités de monnaie locale par USD","2017","2017","7021","Valeur annuel","","567.51309030978","X","Ciffre de sources internationales"
"PE","Taux de change","188","Costa Rica","CRC","Costa Rican Colon","SLC","Unités de monnaie locale standardisée par USD","2017","2017","7021","Valeur annuel","","567.5130903","X","Ciffre de sources internationales"
"PE","Taux de change","384","Côte d'Ivoire","XOF","CFA Franc BCEAO","LCU","Unités de monnaie locale par USD","2017","2017","7021","Valeur annuel","","580.656749587858","X","Ciffre de sources internationales"
"PE","Taux de change","384","Côte d'Ivoire","XOF","CFA Franc BCEAO","SLC","Unités de monnaie locale standardisée par USD","2017","2017","7021","Valeur annuel","","580.6567496","X","Ciffre de sources internationales"
"PE","Taux de change","191","Croatie","HRK","Kuna","LCU","Unités de monnaie locale par USD","2017","2017","7021","Valeur annuel","","6.623831","X","Ciffre de sources internationales"
"PE","Taux de change","191","Croatie","HRK","Kuna","SLC","Unités de monnaie locale standardisée par USD","2017","2017","7021","Valeur annuel","","6.623831","X","Ciffre de sources internationales"
"PE","Taux de change","192","Cuba","CUP","Cuban Peso","LCU","Unités de monnaie locale par USD","2017","2017","7021","Valeur annuel","","1","X","Ciffre de sources internationales"
"PE","Taux de change","192","Cuba","CUX","Cuban Foreign Exchange Certificates","SLC","Unités de monnaie locale standardisée par USD","2017","2017","7021","Valeur annuel","","1","X","Ciffre de sources internationales"
"PE","Taux de change","192","Cuba","CUP","Cuban Peso","SLC","Unités de monnaie locale standardisée par USD","2017","2017","7021","Valeur annuel","","1","X","Ciffre de sources internationales"
"PE","Taux de change","531","Curaçao","ANG","Netherlands Antillean Guilder","LCU","Unités de monnaie locale par USD","2017","2017","7021","Valeur annuel","","1.79","X","Ciffre de sources internationales"
"PE","Taux de change","531","Curaçao","ANG","Netherlands Antillean Guilder","SLC","Unités de monnaie locale standardisée par USD","2017","2017","7021","Valeur annuel","","1.79","X","Ciffre de sources internationales"
"PE","Taux de change","208","Danemark","DKK","Danish Krone","LCU","Unités de monnaie locale par USD","2017","2017","7021","Valeur annuel","","6.60289346561404","X","Ciffre de sources internationales"
"PE","Taux de change","208","Danemark","DKK","Danish Krone","SLC","Unités de monnaie locale standardisée par USD","2017","2017","7021","Valeur annuel","","6.602893466","X","Ciffre de sources internationales"
"PE","Taux de change","262","Djibouti","DJF","Djibouti Franc","LCU","Unités de monnaie locale par USD","2017","2017","7021","Valeur annuel","","177.721","X","Ciffre de sources internationales"
"PE","Taux de change","262","Djibouti","DJF","Djibouti Franc","SLC","Unités de monnaie locale standardisée par USD","2017","2017","7021","Valeur annuel","","177.72","X","Ciffre de sources internationales"
